invID,resID
16053,380794
16053,443514
16053,345430
16053,339885
16057,421568
16057,421569
16057,534543
16057,339900
16075,413970
16075,534504
16075,559416
16075,552855
16075,534646
16075,495953
16075,445218
16080,559414
16080,345392
16082,458942
16082,346909
16096,374403
16101,374412
16117,324305
16117,559491
16117,552726
16117,496418
16117,487713
16117,445309
16117,444183
16117,386528
16122,534637
16122,444427
16122,444120
16123,363509
16123,363511
16123,363508
16123,363510
16123,374414
16123,363517
16123,339919
16150,488305
16150,488306
16150,488307
16150,477338
16166,444298
16166,386579
16166,386577
16176,523808
16176,497881
16176,497882
16176,497884
16176,497886
16176,497883
16176,455996
16176,428741
16176,455597
16176,444345
16176,386685
16182,390040
16182,390037
16184,553860
16184,385457
16184,385466
16184,347554
16184,321110
16184,321114
16184,420258
16184,345416
16189,406297
16189,389475
16189,389473
16189,389482
16189,389487
16189,389480
16189,519787
16189,482341
16189,457329
16189,455848
16189,456229
16189,444042
16189,443919
16189,426357
16189,374386
16189,345440
16189,345470
16189,349616
16189,339932
16223,559434
16223,559408
16229,526372
16229,526067
16229,406158
16229,445172
16248,389275
16248,388577
16248,389276
16248,348480
16248,348479
16248,326930
16248,427536
16248,445120
16248,445114
16248,427627
16248,559520
16248,552895
16248,426727
16248,345427
16254,388226
16254,351567
16257,559409
16257,552571
16257,534445
16257,534652
16257,487704
16257,444214
16257,426307
16257,418200
16257,352318
16271,388359
16271,388355
16271,559399
16271,534645
16287,412371
16287,445723
16287,445722
16287,445734
16287,552553
16287,445307
16287,456029
16287,444123
16287,339978
16297,385612
16297,385621
16297,385616
16297,495934
16297,444398
16297,374484
16306,457094
16306,445166
16306,386650
16306,345421
16307,559403
16307,559415
16307,559410
16307,552857
16307,552919
16307,534609
16307,519831
16307,482380
16307,455696
16307,445175
16307,445217
16307,455735
16307,426486
16307,374399
16307,374466
16312,406227
16312,496281
16312,482349
16312,445277
16319,534643
16319,444049
16321,555714
16321,384867
16321,482503
16329,534500
16329,519640
16329,455400
16329,455729
16329,386631
16329,386510
16329,374444
16329,374440
16329,374447
16329,374403
16334,526026
16334,348841
16334,348840
16334,526027
16334,348842
16334,445801
16334,534442
16334,534559
16334,474734
16334,455779
16334,374421
16379,534543
16379,445219
16394,456180
16394,402895
16394,373243
16394,373242
16394,559500
16394,553281
16394,553386
16394,552901
16394,519821
16394,495652
16394,455260
16394,445224
16394,444388
16394,345445
16394,339730
16398,482347
16398,445311
16398,339957
16431,479632
16431,534600
16431,445169
16431,445354
16431,426469
16431,386508
16431,319255
16432,426371
16435,444510
16435,419504
16435,482343
16435,445156
16435,445292
16435,418268
16435,349616
16435,339908
16436,427825
16436,445303
16436,455794
16436,386516
16436,386530
16451,523158
16451,498029
16451,455553
16451,363753
16451,363757
16451,363759
16451,482624
16451,482627
16451,482628
16451,444354
16451,386617
16451,386613
16451,389296
16451,348511
16451,339922
16451,339911
16468,553280
16468,455640
16468,444351
16468,374481
16474,498041
16474,389316
16474,374382
16474,339910
16511,482525
16511,319321
16515,496813
16515,496806
16515,496816
16515,496803
16515,496810
16515,496814
16515,496799
16515,496809
16515,496796
16515,496800
16515,496349
16515,496346
16515,455929
16515,455980
16515,455978
16515,455987
16515,455979
16515,455982
16515,455984
16515,455977
16515,455957
16515,455981
16515,455985
16515,455986
16515,455983
16515,455928
16515,455927
16515,428650
16515,428652
16515,428653
16515,428649
16515,428654
16515,428651
16515,428648
16515,428645
16515,428646
16515,419306
16515,419305
16515,321602
16515,523807
16515,456737
16515,456739
